Month,FaceCream,FaceWash,ToothPaste,Soap,Shampo,Moisturizer,Total_Units,Total_Revenue,Total_Profit
Jan-19,2500,1500,5200,9200,1200,1500,21100,3584890,211000
Feb-19,2630,1200,5100,6100,2100,1200,18330,2864979,183300
Mar-19,2140,1340,4550,9550,3550,1340,22470,4058082,224700
Apr-19,3400,1130,5870,8870,1870,1130,22270,2890646,222700
May-19,3600,1740,4560,7760,1560,1740,20960,2997280,209600
Jun-19,2760,1555,4890,7490,1890,1555,20140,2857866,201400
Jul-19,2980,1120,4780,8980,1780,1120,29550,5735655,295500
Aug-19,3700,1400,5860,9960,2860,1400,36140,5196932,361400
Sep-19,3540,1780,6100,8100,2100,1780,23400,3060720,234000
Oct-19,1990,1890,8300,10300,2300,1890,26670,4661916,266700
Nov-19,2340,2100,7300,13300,2400,2100,41280,6794688,412800
Dec-19,2900,1760,7400,14400,1800,1760,30020,3770512,300200
